record,total,abnormal,if_f1,ae_f1,or_f1,and_f1
100,2273,34,0.0,0.6666666666666667,0.6666666666666667,0.0
101,1873,13,0.5714285714285714,0.6206896551724138,0.6666666666666667,0.5
103,2090,8,0.2,0.7058823529411765,0.7058823529411765,0.2
105,2690,164,0.4444444444444445,0.6666666666666666,0.6666666666666666,0.4444444444444445
106,2097,590,0.5145317545748116,0.702108157653529,0.7308970099667773,0.4460784313725491
107,2139,2139,0.0028011204481792717,0.04031149793861658,0.04031149793861658,0.0028011204481792717
108,1823,84,0.5135135135135135,0.4850498338870432,0.48684210526315785,0.5103448275862069
109,2534,2534,0.0,0.007078254030672434,0.007078254030672434,0.0
111,2132,2132,0.0037453183520599247,0.01674418604651163,0.01674418604651163,0.0037453183520599247
112,2549,12,0.5714285714285715,0.6923076923076924,0.6923076923076924,0.5714285714285715
113,1795,6,0.0,0.27906976744186046,0.27906976744186046,0.0
114,1889,69,0.28037383177570097,0.5393258426966292,0.5393258426966292,0.28037383177570097
115,1961,8,0.47058823529411764,0.4516129032258065,0.43750000000000006,0.5
116,2420,118,0.031999999999999994,0.8230088495575221,0.8230088495575221,0.031999999999999994
117,1538,4,0.0,0.25,0.22222222222222224,0.0
118,2300,2300,0.018095648427401984,0.08731808731808731,0.08731808731808731,0.018095648427401984
119,2093,550,0.4412094064949608,0.741966893865628,0.7287376902417189,0.4259028642590287
121,1875,14,0.4761904761904762,0.7027027027027025,0.7027027027027025,0.4761904761904762
122,2478,2,0.0,0.22222222222222224,0.22222222222222224,0.0
123,1518,3,0.6666666666666666,0.016901408450704224,0.016901408450704224,0.6666666666666666
124,1633,1633,0.02419842710223835,0.07882352941176471,0.07995296884185772,0.023002421307506054
200,2791,1048,0.20149875104079934,0.457293035479632,0.45669291338582674,0.20183486238532108
201,2038,413,0.42296918767507,0.5178571428571429,0.5183246073298429,0.4186046511627907
202,2145,84,0.5442176870748299,0.5622489959839357,0.5603112840466926,0.5467625899280576
203,3107,578,0.35595390524967985,0.6075949367088608,0.6072289156626506,0.35641025641025637
205,2671,100,0.2741935483870968,0.7362637362637363,0.7362637362637363,0.2741935483870968
207,2384,2384,0.14040561622464898,0.41066666666666674,0.44487932159165033,0.09127301841473179
208,3039,1453,0.0822991508817766,0.18450620934358367,0.18450620934358367,0.0822991508817766
209,3051,430,0.10993657505285412,0.751958224543081,0.751958224543081,0.10993657505285412
210,2684,261,0.15753424657534246,0.5960264900662252,0.5960264900662252,0.15753424657534246
212,2762,1839,0.007563479200432199,0.013970983342289092,0.013970983342289092,0.007563479200432199
213,3293,652,0.07069219440353462,0.19473684210526315,0.19473684210526315,0.07069219440353462
214,2296,2296,0.0558848433530906,0.24598930481283426,0.24933282500953105,0.05176071277047094
215,3399,204,0.15637860082304528,0.34636871508379885,0.34636871508379885,0.15637860082304528
217,2279,2035,0.021390374331550804,0.11024345429490125,0.11024345429490125,0.021390374331550804
219,2311,229,0.5632183908045978,0.6136783733826248,0.5354838709677419,0.6636568848758466
220,2068,114,0.2127659574468085,0.673076923076923,0.673076923076923,0.2127659574468085
221,2461,430,0.1437125748502994,0.4155844155844156,0.4129032258064516,0.14516129032258066
222,2633,571,0.300531914893617,0.5227460711331678,0.5271828665568369,0.2918340026773762
223,2642,613,0.07142857142857144,0.18051575931232092,0.18025751072961374,0.07153965785381027
228,2140,452,0.2486678507992895,0.48445595854922274,0.4896907216494846,0.23971377459749557
230,2465,210,0.018927444794952678,0.343807763401109,0.343807763401109,0.018927444794952678
231,2010,1696,0.007050528789659224,0.02437608821822403,0.02437608821822403,0.007050528789659224
232,1815,1815,0.6260408781226344,0.6624907885040531,0.6639676113360323,0.6244789693065554
233,3151,921,0.13827655310621242,0.5050505050505051,0.5050505050505051,0.13827655310621242
234,2763,63,0.08695652173913042,0.2823529411764706,0.2823529411764706,0.08695652173913042
